Deltam	0.000075	0.0000019	0.000075	3.35999E-06	0.00007766	0.00000336	0.00007556	0.00000182
Theta	0.307	1.20E-02	3.07E-01	0.106	0.311	0.014	0.311	1.40E-02
Reac osc PPO	46.9069	2.033747671	46.9069	1.96801	45.2265	1.83024	45.3502	1.86469
Reac osc bisMSB	86.871	3.772424868	86.871	3.64473	83.4298	3.37625	83.6673	3.4402
Reac osc total	133.7779	5.806162271	133.778	5.61275	128.656	5.20649	129.017	5.30489
Geo U PPO	9.36653		9.36653	3.68202	9.87903	2.4388	9.78689	2.88128
Geo U bisMSB	16.9041		16.9041	6.64507	17.7214	4.37481	1.76E+01	5.17E+00
Geo U total	26.27063		26.2706	10.3271	27.6004	6.81E+00	2.74E+01	8.05E+00
Geo Th PPO	2.43819		2.43819	1.0495	2.93665	1.1095	2.92261	1.42431
Geo Th bisMSB	4.42196		4.42196	1.90341	5.29797	2.00164	5.27488	2.57067
Geo Th total	6.86015		6.86015	2.95291	8.23462	3.11114	8.19749	3.99498
Geo Ratio PPO	3.7	1.3	3.84159	1.84443	3.36405	1.49103	3.34868	1.80912
Geo Ratio bisMSB	3.7	1.3	3.82276	1.83538	3.34494	1.48256	3.32978	1.79891
Geo Ratio total	3.7	1.3	3.82945	1.353	3.35176	1.09258	3.33652	1.32581
AN CS PPO	0.92	0.28	0.96	0.284174	0.946681	0.276945	0.939918	0.278232
AN CS bisMSB	1.56	0.47	1.66	0.491385	1.63697	0.478884	1.62528	0.481111
AN CS total	2.48	0.75	2.62	0.775559	2.58365	0.755829	2.5652	0.759342
AN OE PPO	3.43	3.43	3.6	1.51492	1.83524	0.655641	1.7795	0.641186
AN OE bisMSB	5.86	5.86	6.21	2.61323	3.16579	1.13098	3.06964	1.10605
AN OE total	9.29	9.29	9.81	4.12815	5.00103	1.78662	4.84914	1.74723
AN PR PPO	5.76052	1.72797119	5.76052	1.66692	16.3623	3.83958	16.4925	4.23234
AN PR bisMSB	4.80114	1.439984905	4.80114	1.3893	4.32809	1.01563	4.36405	1.11991
AN PR total	10.56166	3.167956095	10.5617	3.05622	20.6904	4.85521	20.8565	5.35225
BiPo like PPO	2.64539	2.201408462	2.64539	2.11245	0.880507	0.561871	0.747397	0.561565
BiPo like bisMSB	4.27071	3.230884957	4.27071	3.41033	1.41157	0.900754	1.19872	0.900671
BiPo like total	6.9161	5.432293418	6.9161	5.52278	2.29208	1.46262	1.94612	1.46224
Atmos PPO	1.0912	0.738977215	1.0912	0.608047	1.59856	0.880407	1.58547	0.871571
Atmos bisMSB	1.83129	1.241982145	1.83129	1.02045	2.04625	1.12697	2.02538	1.1134
Atmos total	2.92249	1.980959361	2.92249	1.62849	3.64481	2.00738	3.61085	1.98497
E Scale PPO	1	0.011	1	0.010359	1.001	0.0101748	1.001	0.0105557
E Scale bisMSB	1	0.01	1	0.0092526	1.002	0.00818742	1.002	0.009OBOB16286
Birk's PPO	0.074	0.004	0.074	0.0035486	0.07322	0.0035118	0.07322	0.0037593
Birk's bisMSB	0.074	0.004	0.074	0.0032909	0.07315	0.00333227	0.07291	0.00334681
E Conv PPO	0.044	0.044	0.044	0.119704	0.06	0.000412818	0.06	4.59839E-05
E Conv bisMSB	0.049	0.049	4.90E-02	0.0724668	0.03	2.67974E-05	0.03	6.80116E-05
E Scale PR PPO	1	0.03	1.00E+00	0.0297809	1.005	0.0189355	1.005	0.029539
E Scale PR bisMSB	1	0.03	1	0.0297928	1.001	0.0129391	1.001	0.0299266
Classifier A PPO	0		0	27.4667	-0.67	0.000670591	-0.6699	0.00224444
Classifier A bisMSB	0		0	56.5202	0	0.329644	0	0.378048
Classifier S PPO	1	0.029	1	0.0289532	0.9998	0.0287731	1	0.0287688
Classifier S bisMSB	1	0.029	1	0.0289098	0.9926	0.0280518	0.9934	0.0286022
